,AT0 0
0,15180.207822182752
1,15177.410142893732
2,15143.837991425578
3,15008.150545908473
4,14861.272383235304
5,14848.682826434748
6,14806.98031216987
7,14796.925759588014
8,14763.719368752685
9,14704.602343050592
10,14696.209305183553
11,14687.816267316519
12,14654.803081050872
13,14653.715110883859
14,14644.686422263294
15,14640.255719403303
16,14634.660360825279
17,14624.868483313734
18,14596.891690423607
19,14595.492850779096
20,14521.354349620264
21,14519.29313562953
22,14510.163632464213
23,14503.169434241683
24,14475.192641351558
25,14472.394962062544
26,14465.400763840014
27,14465.400763840014
28,14443.019329527908
29,14440.221650238898
30,14422.036734860312
31,14363.28546979105
32,14363.28546979105
33,14361.886630146544
34,14340.314700995905
35,14328.314478678389
36,14296.195148049326
37,14287.58193877958
38,14278.082570745824
39,14258.384954111129
40,14210.811948539857
41,14153.459523115098
42,14133.87576809201
43,14120.407517446918
44,14089.112899467806
45,14052.639904771715
46,13999.587162219399
47,13985.59876577434
48,13981.402246840818
49,13971.610369329277
50,13905.864906037477
51,13875.090433858342
52,13869.866934406811
53,13867.617136910148
54,13840.11944274568
55,13838.720603101174
56,13796.755413765984
57,13770.177460520365
58,13736.605309052211
59,13729.65024483112
60,13722.616912607144
61,13672.258685404919
62,13652.674930381829
63,13644.28189251479
64,13635.888854647757
65,13624.698137491705
66,13619.102778913675
67,13613.507420335653
68,13595.322504957068
69,13581.334108512005
70,13526.779362376265
71,13514.039188957859
72,13477.661572239369
73,13451.242021572918
74,13449.124018755885
75,13438.053112121781
76,13390.014300643088
77,13372.907001480562
78,13364.513963613526
79,13341.28355828678
80,13311.358057122288
81,13295.970821032715
82,13291.774302099197
83,13276.372580387584
84,13245.612593830487
85,13241.416074896968
86,13203.647404495296
87,13185.462489116711
88,13178.468290894181
89,13163.08105480461
90,13115.520506891398
91,13111.32398795788
92,13109.941118836077
93,13087.900917629535
94,13062.364600400155
95,13025.994769642988
96,13020.399411064966
97,13016.202892131447
98,12989.624938885829
99,12982.630740663295
100,12982.630740663295
101,12964.445825284714
102,12960.249306351197
103,12948.891887350035
104,12922.480635949523
105,12911.289918793474
106,12887.10970916888
107,12854.781883691978
108,12852.538653724203
109,12839.949096923652
110,12839.19970794148
111,12825.96070047859
112,12820.702230225137
113,12819.39525201464
114,12796.585067943957
115,12785.394350787905
116,12782.148024567688
117,12778.400152565373
118,12778.400152565373
119,12770.007114698332
120,12767.209435409322
121,12765.329301788923
122,12751.82219931975
123,12746.226840741727
